UID,Comment,Point
001d63f5-dcb6-46ec-bf0f-390c70907e0f,"Almost perfect but the freckle pattern is a giveaway",1
1aeda8a1-87bf-45d3-96c8-ab878760119f,"Cartoonish",1
1c326f49-5ef9-4dae-827f-347f1fe52dbc,"The 4th portrait has drooping eyeliner from crying",1
351d414f-026e-4a55-a991-101896eacc72,"The second and the third views aren't realistic as we see the same shadows at both times and there isn't such a view at the first place",1
3a4324bf-e54a-4a5f-94e5-77c6adb4aff5,"Pretty good",2
5417bcb1-780d-4c25-9400-05fd961ddbe5,"Very cool",2
54abe5d6-5d40-4558-9f09-9c1a12b4bf84,"Michael Jackson has become an angel 💔",1
78bad47c-3100-42e8-8f7a-8af8283f175f,"Awesome",2
80a63809-86f6-449f-844d-d6e5df161211,"Yep",2
88cfbbde-3f91-41e2-90a1-017b9ecee0d9,"Colored tanks in a BW photo is an interesting touch",2
aa04e6ed-a43a-479c-a2a3-74ca255004fa,"Good",2
ad69785c-eccc-4d47-92b6-0cd3c0e83a82,"Left hand is supposed to be holding the left foot on the ground",1
b523278b-4818-497f-bc86-dab4d96c560b,"Close but there are unintelligible letters on one of the posters",1
c7a774a1-5500-488b-a1ba-8a22063b245f,"Good",2
e43b3a4e-8d93-4984-946d-484f9ffb7ad9,"Love the reflections",2
ec96014f-2261-4484-827d-22d16a349008,"Good composition, bad words",1
