UID,Comment,Point
001d63f5-dcb6-46ec-bf0f-390c70907e0f,"Good photorealism but doesn't match the prompt",1
1aeda8a1-87bf-45d3-96c8-ab878760119f,"Too cartoonish",1
1c326f49-5ef9-4dae-827f-347f1fe52dbc,"The third expression does not convey surprise",1
351d414f-026e-4a55-a991-101896eacc72,"Alright",2
3a4324bf-e54a-4a5f-94e5-77c6adb4aff5,"No reflection, it's under the water",1
5417bcb1-780d-4c25-9400-05fd961ddbe5,"Good",2
54abe5d6-5d40-4558-9f09-9c1a12b4bf84,"It's good but only 1 hand should have a glove",1
78bad47c-3100-42e8-8f7a-8af8283f175f,"Good",2
80a63809-86f6-449f-844d-d6e5df161211,"The hole... it's a bit too hole-y",1
88cfbbde-3f91-41e2-90a1-017b9ecee0d9,"It works",2
aa04e6ed-a43a-479c-a2a3-74ca255004fa,"Good",2
ad69785c-eccc-4d47-92b6-0cd3c0e83a82,"Human spaghetti",0
b523278b-4818-497f-bc86-dab4d96c560b,"Close but there are unintelligible letters",1
c7a774a1-5500-488b-a1ba-8a22063b245f,"Also human spaghetti",0
e43b3a4e-8d93-4984-946d-484f9ffb7ad9,"Wrong light effects all around",0
ec96014f-2261-4484-827d-22d16a349008,"Good composition, bad words",1
