UID,Comment,Point
001d63f5-dcb6-46ec-bf0f-390c70907e0f,"It really had the urge to add an old white man when it shouldn't have, people don't really look realistic as well",0
1aeda8a1-87bf-45d3-96c8-ab878760119f,"Way too cartoonish",0
1c326f49-5ef9-4dae-827f-347f1fe52dbc,"Way too cartoonish and the emotions don't match the descriptions",0
351d414f-026e-4a55-a991-101896eacc72,"Not a triptych",0
3a4324bf-e54a-4a5f-94e5-77c6adb4aff5,"Neither the Starbucks logo nor the reflection is good",0
5417bcb1-780d-4c25-9400-05fd961ddbe5,"It's just a bad drawing of the Eiffel Tower",0
54abe5d6-5d40-4558-9f09-9c1a12b4bf84,"Not Michael Jackson, not a print, not the right pose",0
78bad47c-3100-42e8-8f7a-8af8283f175f,"The rock formations are a little too castle like, but it's realistic",2
80a63809-86f6-449f-844d-d6e5df161211,"The man is supposed to be on the sidewalk",1
88cfbbde-3f91-41e2-90a1-017b9ecee0d9,"Almost there but the tank barrels in the back look the wrong way",1
aa04e6ed-a43a-479c-a2a3-74ca255004fa,"Not a Corolla and the road is inconsistent",0
ad69785c-eccc-4d47-92b6-0cd3c0e83a82,"Madam, you dropped your foot",0
b523278b-4818-497f-bc86-dab4d96c560b,"Not realistic",1
c7a774a1-5500-488b-a1ba-8a22063b245f,"After looking at it for more than 1 second, you notice lot's off odd things like the phone screen and blended appendages",1
e43b3a4e-8d93-4984-946d-484f9ffb7ad9,"The lighting from the window, the reflections on the glass table and the Cola sign have gone wrong",0
ec96014f-2261-4484-827d-22d16a349008,"Didn't even try",0
